ID,Titre,Labels,Description,ExplicationNonTech,CriteresAcceptation,Dependances,WPFeature,PluginsExtensionsWP,Difficulte,Couche
K-URL-01,Parité d’URL et redirections 301,"[H],[SEO]","Conserver les URLs existantes ou fournir des 301 équivalentes (articles, catégories, auteurs, pages).","S’assurer que tous les anciens liens fonctionnent ; si une adresse change, on redirige automatiquement vers la nouvelle.",100% des top pages renvoient 200/301 corrects ; aucun 404 sur l’échantillon.,"K-SEO-02, K-I18N-01","Permaliens, structures URL, traductions par langue, produits","WordPress core (Permaliens), WPML Multilingual CMS, WooCommerce",Difficile,Full-stack
K-SEO-02,"Métadonnées SEO (titres, metas, canonicals)","[H],[SEO]",Reprendre les champs AIOSEO depuis WP et les exposer côté nouvelle vitrine (SSR).,Reprendre titres et descriptions qui aident Google à bien afficher nos pages.,"Sur un échantillon, <title>, meta description, canonical correspondent à l’existant.","K-DATA-01, K-I18N-01",Titres/meta/canonicals par page et par langue,All in One SEO,Moyen,Full-stack
K-SEO-03,Données structurées (Schema.org),"[H],[SEO]","JSON‑LD Article/NewsArticle, BreadcrumbList, Organization.",Donner à Google un mode d’emploi pour mieux comprendre nos articles.,Rich Results Google OK sur 10 pages.,K-SEO-02,"Balises Schema.org pour articles, fil d’Ariane, organisation",All in One SEO,Moyen,Full-stack
K-SEO-04,Sitemaps & robots.txt,"[H],[SEO]",Sitemaps par langue/section + ping automatique ; robots.txt géré.,Fournir à Google la liste officielle de nos pages et indiquer ce qui est autorisé à explorer.,"Sitemaps valides, indexés dans Search Console.","K-I18N-01, K-URL-01","Sitemaps XML, robots.txt, ping Search Console","All in One SEO (sitemaps), Site Kit by Google (Search Console)",Facile,Full-stack
K-SEO-05,Social cards (Open Graph / Twitter),"[H],[SEO]","Image, titre, description par défaut + overrides ; respect des langues.",Que les aperçus sur réseaux sociaux affichent belle image + bon titre/texte.,Previews corrects sur Facebook/Twitter Debugger pour 5 pages.,"K-DATA-02, K-I18N-01",Open Graph/Twitter Cards,All in One SEO,Moyen,Full-stack
K-SEO-06,Table des matières automatique,"[H],[EDITO]",Générer une TOC à partir des H2/H3 (remplacement TOC Plus).,Ajouter une table des matières en haut des longs articles pour naviguer facilement.,"Ancrages stables, pas de chevauchement.",K-FRONT-01,Table des matières dans articles longs,Table of Contents Plus,Facile,Front-end
K-SEO-07,Notes de bas de page,"[H],[EDITO]",Rendu propre des notes existantes (shortcodes) côté vitrine.,Afficher correctement les notes numérotées à la fin des articles.,Correspondance 1:1 sur 10 articles tests.,K-DATA-01,Notes de bas de page via shortcodes,Easy Footnotes,Facile,Front-end
K-I18N-01,Structure multi‑langues,"[H],[I18N]","Routes /fr, /nl, /en avec hreflang, canoniques par langue, liens de switch.","Gérer plusieurs langues proprement, avec des liens pour passer de l’une à l’autre.",3 langues actives ; hreflang valides.,K-FRONT-01,"Langues du site, liens hreflang, switcher de langue","WPML Multilingual CMS, WPML String Translation, WPML Media, WooCommerce Multilingual & Multicurrency",Difficile,Full-stack
K-I18N-02,Parité des slugs traduits,"[H],[I18N]",Conserver les slugs WPML par langue.,Garder les adresses des pages traduites identiques à aujourd’hui.,Mapping 100% échantillon ; redirections si écart.,K-DATA-01,Slugs traduits par langue,WPML Multilingual CMS,Difficile,Full-stack
K-EDITO-01,Prévisualisation brouillons,"[H],[EDITO]",Liens publics temporaires avec token et expiration (équivalent Public Post Preview).,"Partager un brouillon à quelqu’un sans compte, via un lien qui expire.",Liens invalidés à expiration ; pas indexables.,K-API-01,Aperçu public des brouillons,Public Post Preview,Moyen,Front-end
K-EDITO-02,Masquer/Exclure des listes,"[H],[EDITO]","Respect des flags “masquer” par contexte (home, catégories, recherche).",Cacher certains articles de certaines listes (ex : pas en home).,Cas de test passent ; UI d’override (si besoin).,K-DATA-01,Cacher des contenus de certaines boucles/listes,WordPress Hide Posts,Moyen,Front-end
K-EDITO-03,Audio embarqué,"[H],[MEDIA]",Lecteur HTML5 propre (remplacement Html5 Audio Player).,Avoir un lecteur audio simple et fiable pour nos sons.,3 formats OK (mp3/m4a/ogg) + accessibilité.,K-FRONT-01,Lecteur audio pour fichiers son,Html5 Audio Player,Moyen,Full-stack
K-EDITO-04,Tableaux dans les contenus,"[H],[EDITO]",Rendu HTML/React des tableaux existants ; responsive.,Afficher les tableaux correctement sur mobile et desktop.,5 pages test conformes ; pas de scroll inutile.,K-DATA-01,Tableaux insérés dans les articles,WP Table Builder,Moyen,Front-end
K-SEARCH-01,Indexation recherche (Meilisearch),"[H],[SEARCH]","Index articles/pages + facettes (catégories, tags, dates).",Que la recherche soit rapide et propose des filtres utiles.,Latence < 200 ms ; 5 filtres fonctionnels.,"K-DATA-01, K-SEARCH-02",Recherche interne + filtres par taxonomie/méta,"Search & Filter (UI), WordPress core (WP_Query)",Moyen,Back-end
K-SEARCH-02,UI de recherche & filtres,"[H],[SEARCH]","Autocomplete, résultats, facettes, pagination.",Une barre de recherche qui suggère et permet de filtrer facilement.,Scénarios de recherche courants couverts.,K-FRONT-01,Interface de recherche et filtres,Search & Filter,Moyen,Full-stack
K-NAV-01,Menus & méga‑menu,"[H],[EDITO]",Navigation équivalente (header/footer) avec ordres et catégories.,"Les menus fonctionnent comme aujourd’hui, avec un grand menu si nécessaire.",Conformes à l’existant ; accessibilité ARIA.,K-DATA-01,"Menus du site (header/footer, méga‑menu)",WordPress core (Menus),Moyen,Front-end
K-PAY-01,Parité paywall/memberships (lecture),"[H],[PAYWALL]",Respect des règles d’accès existantes ; teaser/CTA abonnement.,Les articles réservés restent réservés aux membres comme aujourd’hui.,Utilisateurs tests voient/masquent correctement.,"K-AUTH-01, K-DATA-03",Règles d’accès aux contenus pour les membres,WooCommerce Memberships,Difficile,Back-end
K-PAY-02,Panier & checkout (via Woo),"[H],[E‑COMM]",Intégrer le tunnel Woo existant ou le lier proprement.,"Le parcours d’achat reste le même, mieux intégré au site.",Parcours fluide article → souscription.,K-PAY-01,"Panier, commande, paiement en ligne","WooCommerce, WooCommerce Stripe Gateway, Mollie Payments for WooCommerce, WooCommerce Social Login",Difficile,Back-end
K-PAY-03,Conformité TVA UE (lecture),"[H],[LEGAL]",Respect des taxes affichées ; mentions et pages TVA.,Afficher les bons montants de TVA selon le pays.,Cas FR/BE/NL cohérents.,K-PAY-02,TVA UE et affichage des taxes,"WooCommerce EU VAT Assistant, Aelia Foundation Classes for WooCommerce, WooCommerce",Difficile,Back-end
K-PAY-04,Paywall propriétaire (Stripe Billing),"[R],[PAYWALL]","Plans, essais, proration, statuts ; entitlements locaux.","Gérer nos abonnements nous‑mêmes (création, renouvellement, annulation).",Création/annulation/renouvellement OK ; webhooks fiables.,"K-AUTH-01, K-API-01",Abonnements récurrents (remplace Subscriptions/Memberships),"Remplace WooCommerce Subscriptions, WooCommerce Memberships",Difficile,Back-end
K-PAY-05,TVA UE propriétaire (Stripe Tax/Quaderno),"[R],[LEGAL]","Calcul, factures, preuves (IP, moyen de paiement, adresse).",Calculer la bonne TVA automatiquement et produire des factures conformes.,Rapports conformes ; factures générées.,K-PAY-04,"Calcul TVA, facturation, preuves réglementaires",Remplace WooCommerce EU VAT Assistant (Aelia),Difficile,Back-end
K-PAY-06,"Coupons, cartes cadeaux, dons","[R],[E‑COMM]","Équivalents Woo (Gift Coupon, Donations).","Permettre codes promo, cartes cadeaux et dons.","Scénarios validés (code unique, solde, reçus).","K-PAY-04, K-PAY-05","Promotions, cartes cadeaux, dons","WooCommerce Gift Coupon, Potent Donations for WooCommerce, WooCommerce (coupons natifs)",Difficile,Back-end
K-AUTH-01,Connexion / Social login,"[H],[SEC]",SSO Google/Apple/FB (équivalent Woo Social Login).,Se connecter facilement avec Google/Apple/Facebook.,Liens de comptes existants respectés ; RGPD ok.,K-API-01,Connexion et réseaux sociaux,"WooCommerce Social Login, ProfilePress (si utilisé pour comptes)",Moyen,Back-end
K-MEDIA-01,Pipeline images,"[H],[MEDIA]","Responsive images, WebP/AVIF, lazy‑load ; remplace Surver/LiteSpeed.","Des images plus légères qui se chargent plus vite, surtout sur mobile.",Poids ↓ significatif ; pas de régression qualité.,K-FRONT-01,Optimisation d’images et tailles,"LiteSpeed Cache, Surver | SiteStream, WordPress core (tailles d’images)",Moyen,Full-stack
K-MEDIA-02,CDN & cache,"[H],[MEDIA]",CDN/WAF + cache SSR ; purge sur publication.,"Utiliser un réseau mondial pour que le site réponde vite, et mettre en cache les pages.",Hit‑rate cache > 80% sur pages stables.,K-INFRA-01,"Mise en cache des pages, accélération globale","LiteSpeed Cache (cache), Wordfence Security (WAF actuel)",Moyen,Full-stack
K-MEDIA-03,Gestion médias WP,"[H],[MEDIA]","Ingestion métadonnées (tailles, alt, focal point).",Récupérer et afficher correctement toutes les images et fichiers WordPress.,Échantillon de 50 médias OK.,K-DATA-02,"Bibliothèque de médias, métadonnées d’images","WordPress core (Médias), Advanced Custom Fields: Gallery Field",Moyen,Full-stack
K-SEC-01,WAF & rate‑limit,"[H],[SEC]",Protection via CDN/WAF + limites requêtes.,Bloquer les attaques courantes et éviter les abus (trop de requêtes).,Tests d’attaque basiques bloqués ; faux positifs nuls.,K-MEDIA-02,"Pare-feu applicatif, protections anti‑abus",Wordfence Security,Moyen,Back-end
K-LEGAL-01,CMP (cookies),"[H],[LEGAL]","Bannière TCF v2, blocage des tags avant consentement.",Afficher la bannière cookies et respecter le choix des visiteurs.,Audit CMP passe ; préférences mémorisées.,K-AN-01,Gestion du consentement cookies (RGPD),CookieYes | GDPR Cookie Consent,Moyen,Back-end
